Title,Location,Company,Salary,Sponsored,Description
CIEL/STF/15568: PL SQL Developer,"Bengaluru, Karnataka",CIEL HR Services,0,Organic,"Blockchain Wallet Developer
Mumbai


Job Description :
Research, design, develop, and test blockchain technologies

Brainstorm and help evaluate applications for new tools and technologies as they continually evolve

- Maintain and extend current client- and server-side applications responsible for integration and business logic

Be involved in the global blockchain community—work on implementing and integrating the latest improvement proposals

Document new solutions as well as maintaining that of existing ones
Experience
3 - 7 Years

Salary
9 Lac To 11 Lac P.A.

Industry
IT Software - Application Programming / Maintenance

Qualification
B.Tech/B.E

Key Skills
Research design develop and test blockchain technologies Advanced Java script Node JS C++ JAVA Pythone


About Company
Email ID
swati5547@gmail.com"
SENIOR DEVELOPER,"Bengaluru, Karnataka",Happiest Minds Technologies,0,Organic,"Blockchain Wallet Developer
Mumbai


Job Description :
Research, design, develop, and test blockchain technologies

Brainstorm and help evaluate applications for new tools and technologies as they continually evolve

- Maintain and extend current client- and server-side applications responsible for integration and business logic

Be involved in the global blockchain community—work on implementing and integrating the latest improvement proposals

Document new solutions as well as maintaining that of existing ones
Experience
3 - 7 Years

Salary
9 Lac To 11 Lac P.A.

Industry
IT Software - Application Programming / Maintenance

Qualification
B.Tech/B.E

Key Skills
Research design develop and test blockchain technologies Advanced Java script Node JS C++ JAVA Pythone


About Company
Email ID
swati5547@gmail.com"
Node js developer,"Mumbai, Maharashtra",DigiXhub,"₹2,50,000 - ₹6,50,000 a year",Organic,"Experience : 1.5 to 4 years
Location : Mumbai / work from home for other Locations
Immediate joiner
Roles and Responsibilities
Strong proficiency with JavaScript
Knowledge of Node.js , react js and frameworks available for it.
Understanding the nature of asynchronous programming and its quirks and workarounds
Good understanding of server-side templating languages
Good understanding of server-side CSS preprocessors
Basic understanding of front-end technologies, such as HTML5, and CSS3
Understanding accessibility and security compliance
User authentication and authorization between multiple systems, servers, and environments
Integration of multiple data sources and databases into one system
Understanding fundamental design principles behind a scalable application
Understanding differences between multiple delivery platforms, such as mobile vs. desktop, and optimizing output to match the specific platform.
Knowledge on Blockchain development is added advantage
Previous Experience in .Net or PHP is a Plus
Expected start date: 29/9/2020
Job Type: Full-time
Salary: ₹250,000.00 - ₹650,000.00 per year
Experience:
Nodejs: 1 year (Required)
React js: 1 year (Preferred)
Education:
Bachelor's (Required)
Work Remotely:
Yes"
Solidity Developer,"Kharadi, Pune, Maharashtra",Cyperts Digital Solution Pvt Ltd,0,Organic,"Hiring For A Solidity Developer with at least 1.5 year of experience.
Skills Required:
1+ year experience with Ethereum with Solidity and related tools (Truffle, geth, etc.)
Experience developing Solidity smart contracts
Experience in a DevOps environment (blockchain is a plus)
Good understanding of continuous integration tools and blockchain management tools
Responsibilities:
Working with a team of expert developers to develop blockchain-based centralised and decentralised applications for enterprise use.
Leading the development of smart contracts and the performance of blockchain integration with existing applications.
Establishing and maintaining the environments in which blockchain solutions can be implemented, including development, testing, and production environments.
Maintain a continuous integration pipeline for the development and testing of applications
Be at the forefront of blockchain-related technologies to maintain the company's market advantage
Participate in the design of security protocols and architecture
Job Type: Full-time
Experience:
Solidity : 1 year (Required)
Location:
Kharadi, Pune, Maharashtra (Preferred)
Work Remotely:
No"
UI Developer,"Bengaluru, Karnataka",Knowledge Lens,0,Organic,"Hiring For A Solidity Developer with at least 1.5 year of experience.
Skills Required:
1+ year experience with Ethereum with Solidity and related tools (Truffle, geth, etc.)
Experience developing Solidity smart contracts
Experience in a DevOps environment (blockchain is a plus)
Good understanding of continuous integration tools and blockchain management tools
Responsibilities:
Working with a team of expert developers to develop blockchain-based centralised and decentralised applications for enterprise use.
Leading the development of smart contracts and the performance of blockchain integration with existing applications.
Establishing and maintaining the environments in which blockchain solutions can be implemented, including development, testing, and production environments.
Maintain a continuous integration pipeline for the development and testing of applications
Be at the forefront of blockchain-related technologies to maintain the company's market advantage
Participate in the design of security protocols and architecture
Job Type: Full-time
Experience:
Solidity : 1 year (Required)
Location:
Kharadi, Pune, Maharashtra (Preferred)
Work Remotely:
No"
Power BI Developer,"Gurgaon, Haryana",XCEEDANCE,0,Organic,None
Application Developer,"Kochi, Kerala",EY,0,Organic,None
"Blockchain Developer - Ethereum, Hyperledger Fabric","Chennai, Tamil Nadu",PayGyft,0,Organic,None
Junior PHP Developer,"Ghaziabad, Uttar Pradesh",Atulya Group,0,Organic,None
Dot Net Developer (3 – 7 years) – Gurgaon,"Gurgaon, Haryana",XCEEDANCE,0,Organic,None
MEAN Stack Developer - Angular2 & Above/Node.js,"Kanpur, Uttar Pradesh",ITH Technologies,0,Organic,None
Java Developer,"Gurgaon, Haryana",XCEEDANCE,0,Organic,None
.Net Developer,"Bengaluru, Karnataka",Executive81 HR Solutions Private Limited,"₹6,00,000 - ₹12,00,000 a year",Organic,"Hi,

Greetings of the day!

Please find below JD for the role of .Net MVC Developer.
Herewith, find the JD below;

Mandate Skills : SQL Server, C#, MVC, OOP concepts, Blockchain Technology, Basic HTML and HTML5, jQuery, and Web API concept

Note: Looking for Immediate joiners.

Kindly fill the details below;
Full Name:
Email ID & Contact Number:
Current CTC :
Expected CTC :
Offer in-hand : YES/NO :
CTC offer in-hand:
Notice period (official) :
Reason for leaving :
Highest qualification(Full-time):
Current location:

Share your resume with mentioned details at singhsneha14j@gmail.com

Regards:
Sneha Singh

3.00-5.00 Years
Bachelor Of Technology (B.Tech/B.E), Bachelor Of Computer Application (B.C.A), Master in Computer Application (M.C.A)"
Front End Developer,"Visakhapatnam, Andhra Pradesh",Infoeaze Digital Services Private Limited,"₹30,000 a month",Organic,"WHAT ARE WE LOOKING FOR? We’re looking for a frontend developer who enjoys the challenge of creating an intuitive interface for the end customer. You should be able to prototype quickly, adapt swiftly to code challenges, be able to work as part of a virtual team, have strong communication skills and be pragmatic in your approach. We are looking for someone who is familiar with Git, has a solid skill in one of below and willing to learn the other as part of the job.
WHAT WILL YOU BE DOING? You will be working with our Chief Technology Officer based in Vizag and Chief Product Officer based in London. Most of your work will be front end web development, using backend API, turning design mock-ups into a working web app by using existing template / UI kits. Note: If you can (and want to) do UX/UI design as well, please do let us know in the email.
KEY INGREDIENTS : PASSION, FLEXIBILITY, OWNERSHIP, ENERGY
WHY US? We are a start-up working with cutting edge technologies, spanning blockchain and data, using self-sovereign identity for verified credentials to create a user-focused product that everyone can use. We believe everyone in the team has the right to shape the direction of the company. You will be an integral part of our small team and you will make a real difference from day one.
PROBATION PERIOD: 3 MONTHS
MINIMUM EXPERIENCE : 3 YEARS
REMOTE WORK ACCEPTED
MUST HAVE ( if not the candidate will be rejected):
IMMEDIATE JOINING
REACT JS IS A MUST
3 YEARS EXPERIENCE IS A MUST
MUST ADD YOUR Linkedin profile link on you resume
MUST SHARE 2 refrences of previous 2 employers and their contact details
Contract length: 3 months
Expected Start Date: 28/9/2020
Job Types: Full-time, Contract
Salary: From ₹30,000.00 per month
Experience:
React JS: 3 years (Preferred)
total work: 3 years (Required)
Required Documents:
Aadhar Card (Required)
Address Proof (Required)
Application Question:
Can you join immediately?
Work Remotely:
Yes"
Blockchain Developer,"Hyderabad, Telangana",Artemis Technologies,0,Organic,"WHAT ARE WE LOOKING FOR? We’re looking for a frontend developer who enjoys the challenge of creating an intuitive interface for the end customer. You should be able to prototype quickly, adapt swiftly to code challenges, be able to work as part of a virtual team, have strong communication skills and be pragmatic in your approach. We are looking for someone who is familiar with Git, has a solid skill in one of below and willing to learn the other as part of the job.
WHAT WILL YOU BE DOING? You will be working with our Chief Technology Officer based in Vizag and Chief Product Officer based in London. Most of your work will be front end web development, using backend API, turning design mock-ups into a working web app by using existing template / UI kits. Note: If you can (and want to) do UX/UI design as well, please do let us know in the email.
KEY INGREDIENTS : PASSION, FLEXIBILITY, OWNERSHIP, ENERGY
WHY US? We are a start-up working with cutting edge technologies, spanning blockchain and data, using self-sovereign identity for verified credentials to create a user-focused product that everyone can use. We believe everyone in the team has the right to shape the direction of the company. You will be an integral part of our small team and you will make a real difference from day one.
PROBATION PERIOD: 3 MONTHS
MINIMUM EXPERIENCE : 3 YEARS
REMOTE WORK ACCEPTED
MUST HAVE ( if not the candidate will be rejected):
IMMEDIATE JOINING
REACT JS IS A MUST
3 YEARS EXPERIENCE IS A MUST
MUST ADD YOUR Linkedin profile link on you resume
MUST SHARE 2 refrences of previous 2 employers and their contact details
Contract length: 3 months
Expected Start Date: 28/9/2020
Job Types: Full-time, Contract
Salary: From ₹30,000.00 per month
Experience:
React JS: 3 years (Preferred)
total work: 3 years (Required)
Required Documents:
Aadhar Card (Required)
Address Proof (Required)
Application Question:
Can you join immediately?
Work Remotely:
Yes"
Full Stack Developer,"Chennai, Tamil Nadu",Ideas2IT Technologies,"₹5,50,000 a year",Organic,"What are we?
We are an eclectic squad of master-minds of great mettle with a passion for cutting-edge technology. This squad was brought together by our founder, an ex-Googler.
What do we do?
Ideas2IT started as a high-end product engineering partner for Silicon Valley startups and now delivers innovative solutions for enterprises like Siemens and startups like DeVero to big exits. Our hands-on expertise on exciting technologies includes Blockchain, IoT, Machine learning, Node, React, Hadoop/Spark, Python NLTK and the list goes on. We constantly dive into challenges of the USA startup ecosystem, chip in for open source projects, betting the house for big data, and also build our own frameworks.
Full Stack - Job Description
Experience Required - 4 to 12 years
1. Design the overall architecture of the web application.
2. Maintain quality and ensure the responsiveness of applications.
3. HTML 5, CSS, JavaScript, OO JavaScript (OOJS), JQuery and Backbone
4. Good understanding of AJAX and JavaScript DOM manipulation Techniques
5. Web Sockets, Server-Sent Events (SSE) using HTML5.
6. Strong problem-solving and analytical skills
7. Hands-on experience in PostgreSQL and/or (MySQL, Oracle, MS SQL Server)
8. Maintain code integrity and organization.
9. Highly experienced with back-end programming languages such as NodeJS/Java/Python/Golang.
10. Proficient experience using advanced JavaScript libraries and frameworks such as AngularJS / VueJS/ Angular/ React JS/ React native/ REDUX framework.
Fullstack - Combination
Front End- Angular/React
Back End - Java/Node
Main Skills : Java(Spring,Hibernate), Angular(Version 2+), Micro-services, AWS, HTML, CSS, JQuery, JavaScript, SQL or No-SQL Database
Job Type: Full-time
Salary: From ₹550,000.00 per year
Experience:
AWS: 1 year (Preferred)
total work: 4 years (Required)
java (spring/hibernate/microservices): 2 years (Required)
Angular 2+: 2 years (Required)
Education:
Bachelor's (Preferred)"
Blockchain Ecosystem Developer and Tech Influencer (50:50),"Mumbai, Maharashtra",Sampoorna Computer People,0,Organic,"What are we?
We are an eclectic squad of master-minds of great mettle with a passion for cutting-edge technology. This squad was brought together by our founder, an ex-Googler.
What do we do?
Ideas2IT started as a high-end product engineering partner for Silicon Valley startups and now delivers innovative solutions for enterprises like Siemens and startups like DeVero to big exits. Our hands-on expertise on exciting technologies includes Blockchain, IoT, Machine learning, Node, React, Hadoop/Spark, Python NLTK and the list goes on. We constantly dive into challenges of the USA startup ecosystem, chip in for open source projects, betting the house for big data, and also build our own frameworks.
Full Stack - Job Description
Experience Required - 4 to 12 years
1. Design the overall architecture of the web application.
2. Maintain quality and ensure the responsiveness of applications.
3. HTML 5, CSS, JavaScript, OO JavaScript (OOJS), JQuery and Backbone
4. Good understanding of AJAX and JavaScript DOM manipulation Techniques
5. Web Sockets, Server-Sent Events (SSE) using HTML5.
6. Strong problem-solving and analytical skills
7. Hands-on experience in PostgreSQL and/or (MySQL, Oracle, MS SQL Server)
8. Maintain code integrity and organization.
9. Highly experienced with back-end programming languages such as NodeJS/Java/Python/Golang.
10. Proficient experience using advanced JavaScript libraries and frameworks such as AngularJS / VueJS/ Angular/ React JS/ React native/ REDUX framework.
Fullstack - Combination
Front End- Angular/React
Back End - Java/Node
Main Skills : Java(Spring,Hibernate), Angular(Version 2+), Micro-services, AWS, HTML, CSS, JQuery, JavaScript, SQL or No-SQL Database
Job Type: Full-time
Salary: From ₹550,000.00 per year
Experience:
AWS: 1 year (Preferred)
total work: 4 years (Required)
java (spring/hibernate/microservices): 2 years (Required)
Angular 2+: 2 years (Required)
Education:
Bachelor's (Preferred)"
Blockchain Developers,"Pune, Maharashtra",Tokyotechie,0,Organic,"What are we?
We are an eclectic squad of master-minds of great mettle with a passion for cutting-edge technology. This squad was brought together by our founder, an ex-Googler.
What do we do?
Ideas2IT started as a high-end product engineering partner for Silicon Valley startups and now delivers innovative solutions for enterprises like Siemens and startups like DeVero to big exits. Our hands-on expertise on exciting technologies includes Blockchain, IoT, Machine learning, Node, React, Hadoop/Spark, Python NLTK and the list goes on. We constantly dive into challenges of the USA startup ecosystem, chip in for open source projects, betting the house for big data, and also build our own frameworks.
Full Stack - Job Description
Experience Required - 4 to 12 years
1. Design the overall architecture of the web application.
2. Maintain quality and ensure the responsiveness of applications.
3. HTML 5, CSS, JavaScript, OO JavaScript (OOJS), JQuery and Backbone
4. Good understanding of AJAX and JavaScript DOM manipulation Techniques
5. Web Sockets, Server-Sent Events (SSE) using HTML5.
6. Strong problem-solving and analytical skills
7. Hands-on experience in PostgreSQL and/or (MySQL, Oracle, MS SQL Server)
8. Maintain code integrity and organization.
9. Highly experienced with back-end programming languages such as NodeJS/Java/Python/Golang.
10. Proficient experience using advanced JavaScript libraries and frameworks such as AngularJS / VueJS/ Angular/ React JS/ React native/ REDUX framework.
Fullstack - Combination
Front End- Angular/React
Back End - Java/Node
Main Skills : Java(Spring,Hibernate), Angular(Version 2+), Micro-services, AWS, HTML, CSS, JQuery, JavaScript, SQL or No-SQL Database
Job Type: Full-time
Salary: From ₹550,000.00 per year
Experience:
AWS: 1 year (Preferred)
total work: 4 years (Required)
java (spring/hibernate/microservices): 2 years (Required)
Angular 2+: 2 years (Required)
Education:
Bachelor's (Preferred)"
Blockchain Developer,"Surat, Gujarat",Saffron Consultancy Services,"₹4,50,000 - ₹8,00,000 a year",Organic,"Surat


BlockChain Developer -1


We are looking for skilled Blockchain developers who will be responsible to develop and enhance blockchain applications built using different frameworks. Candidates will be involved in developing secure and scalable blockchain solutions. Developers who are well-versed with distributed ledgers, payment wallets, white papers, smart contracts / chain code, ICO, and are able to pre-launch ICO Audit.

Roles & Responsibilities
Estimations & Task Planning
Divide the project into modules and tasks based on the business requirement or SRS.
Estimate time for the modules/tasks based on different estimation techniques.
Prepare a project plan and WBS which will have each module and tasks with specific start and end date.
Seek approval from all the stakeholders on WBS and prepare the project plan accordingly.
You should be well-versed with the project management tool.
Database creation & updating custom modules
Identify the modules/tasks and prepare the database designs
Discuss the same with the team members and seek approval from the stakeholders.
Coding, Debugging, Unit Testing & Documentation of Code and Application
As per the best standard practices and guidelines, code each module within the timeline mentioned in WBS.
Debug and unit test the code/module.
Use appropriate versioning tools like GIT, SVN, etc.
Document the code and application that later can be shared with the client.
Prepare the user manuals for custom module/code which needs to be shared with the client and used for training purposes as well.
Optimize the website after checking through benchmarking tools like or Google Page Speed.
Good knowledge of Service-based architecture/Component-based architecture.
Project Deployment & Maintenance
Check all the deployment checklist before putting anything on production.
Update the security patches whenever those are available.
Mandatory Skills & Knowledge

Strong knowledge of blockchain concepts
Experience
2 - 5 Years

Salary
4 Lac 50 Thousand To 8 Lac P.A.

Industry
IT Software - Application Programming / Maintenance

Qualification
Other Bachelor Degree

Key Skills
Blockchain Developer
GIT
SVN
blockchain
web services



About Company
SAFFRON the name of our firm ,is inspired by the precious and popular spice .The three wispy Saffron threads can be gleaned from each delicate crocus which though lavender-purple in color is called traditionally as Kesar.Its effect is pristine and symbolizes purity. Akin to the potential value of this precious spice,it shall be our endeavor at Saffron Careers to deliver value to all our clients thereby Redefining Careers and at the same time retaining purity in our approach..Our firm is steadily growing over the past decade and is poised to grow further as we expand and add more activities related to career enhancement."
