Title,Location,Company,Salary,Sponsored,Description
"Bigdata Developer (Python, Spark & Scala)","Bengaluru, Karnataka",Aleron,0,Organic,"Expert in Python and Django framework
Experience in Django-Rest framework
Good programming experience & OOPs concepts
Knowledge and work experience of React.js is a plus
Good verbal and written communication skills.
Minimum industry experience of 3-4 years preferred
Drop your resumes to techhead(at)techmte(dot)com with below details:
Total years of experience:
Relevant experience and skills:
Current CTC:
Expected CTC:
Native place:
Currently Employed? If yes, Notice Period? Is the Notice period Negotiable?
If not employed - Last working date:
Application Deadline: 1/11/2020
Job Type: Full-time
Salary: ₹35,000.00 - ₹55,000.00 per month
Schedule:
Flexible shift
Experience:
Django: 3 years (Preferred)
Python: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Python/Django Developer,"Bengaluru, Karnataka",GladMinds Solutions,0,Organic,"Expert in Python and Django framework
Experience in Django-Rest framework
Good programming experience & OOPs concepts
Knowledge and work experience of React.js is a plus
Good verbal and written communication skills.
Minimum industry experience of 3-4 years preferred
Drop your resumes to techhead(at)techmte(dot)com with below details:
Total years of experience:
Relevant experience and skills:
Current CTC:
Expected CTC:
Native place:
Currently Employed? If yes, Notice Period? Is the Notice period Negotiable?
If not employed - Last working date:
Application Deadline: 1/11/2020
Job Type: Full-time
Salary: ₹35,000.00 - ₹55,000.00 per month
Schedule:
Flexible shift
Experience:
Django: 3 years (Preferred)
Python: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Python Django Developer,"Bengaluru, Karnataka",PeerXP,"₹4,00,000 - ₹5,00,000 a year",Organic,"Role Description
We are looking for a Python (Django) Web Developer with 1+ years of experience to join our Engineering team and help us develop and maintain our internal products.
Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services. To be successful in this role, you should have experience using server-side logic and work well both individually and in a team.
Ultimately, you’ll build highly responsive and innovative web applications that align with our business needs.
Skills Required
Design and implement a full-stack web application using Python Django framework.
1+ years of experience in building and deploying web applications using the Python Django framework.
Experience in designing and using RESTful APIs.
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3.
Knowledge of React JS front-end is a plus.
Understanding of fundamental design principles behind a scalable application.
Understanding of databases, SQL and non-relational plus the Django ORM.
Strong knowledge of Git version control.
Experience deploying Python applications into production.
Amazon Web Services (AWS) knowledge is a plus.
Principal Responsibilities
Writing reusable, testable, and efficient code.
Design and implementation of low-latency, high-availability, and performance applications using Django framework in Python.
Create and use the REST APIs for communicating with other apps.
Assess and prioritize feature requests and work in Agile framework.
Implementation of security and data protection algorithms.
Integration of data storage solutions like databases, key-value stores, blob stores, S3 etc.
Improve the functionality of existing systems and applications.
High commitment to work and taking ownership of deliverables.
Help to research and influence our path forward with strategic technology initiatives.
Job Type: Full-time
Salary: ₹400,000.00 - ₹500,000.00 per year
Schedule:
Day shift
Experience:
work: 1 year (Preferred)
Django: 1 year (Preferred)
Python: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Jr. Python/Odoo Developer,"Gandhinagar, Gujarat",iPredict IT Solutions,0,Organic,"Role Description
We are looking for a Python (Django) Web Developer with 1+ years of experience to join our Engineering team and help us develop and maintain our internal products.
Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services. To be successful in this role, you should have experience using server-side logic and work well both individually and in a team.
Ultimately, you’ll build highly responsive and innovative web applications that align with our business needs.
Skills Required
Design and implement a full-stack web application using Python Django framework.
1+ years of experience in building and deploying web applications using the Python Django framework.
Experience in designing and using RESTful APIs.
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3.
Knowledge of React JS front-end is a plus.
Understanding of fundamental design principles behind a scalable application.
Understanding of databases, SQL and non-relational plus the Django ORM.
Strong knowledge of Git version control.
Experience deploying Python applications into production.
Amazon Web Services (AWS) knowledge is a plus.
Principal Responsibilities
Writing reusable, testable, and efficient code.
Design and implementation of low-latency, high-availability, and performance applications using Django framework in Python.
Create and use the REST APIs for communicating with other apps.
Assess and prioritize feature requests and work in Agile framework.
Implementation of security and data protection algorithms.
Integration of data storage solutions like databases, key-value stores, blob stores, S3 etc.
Improve the functionality of existing systems and applications.
High commitment to work and taking ownership of deliverables.
Help to research and influence our path forward with strategic technology initiatives.
Job Type: Full-time
Salary: ₹400,000.00 - ₹500,000.00 per year
Schedule:
Day shift
Experience:
work: 1 year (Preferred)
Django: 1 year (Preferred)
Python: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Python Django Developer,"Jaipur, Rajasthan",Qriyo Infolabs,0,Organic,"Role Description
We are looking for a Python (Django) Web Developer with 1+ years of experience to join our Engineering team and help us develop and maintain our internal products.
Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services. To be successful in this role, you should have experience using server-side logic and work well both individually and in a team.
Ultimately, you’ll build highly responsive and innovative web applications that align with our business needs.
Skills Required
Design and implement a full-stack web application using Python Django framework.
1+ years of experience in building and deploying web applications using the Python Django framework.
Experience in designing and using RESTful APIs.
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3.
Knowledge of React JS front-end is a plus.
Understanding of fundamental design principles behind a scalable application.
Understanding of databases, SQL and non-relational plus the Django ORM.
Strong knowledge of Git version control.
Experience deploying Python applications into production.
Amazon Web Services (AWS) knowledge is a plus.
Principal Responsibilities
Writing reusable, testable, and efficient code.
Design and implementation of low-latency, high-availability, and performance applications using Django framework in Python.
Create and use the REST APIs for communicating with other apps.
Assess and prioritize feature requests and work in Agile framework.
Implementation of security and data protection algorithms.
Integration of data storage solutions like databases, key-value stores, blob stores, S3 etc.
Improve the functionality of existing systems and applications.
High commitment to work and taking ownership of deliverables.
Help to research and influence our path forward with strategic technology initiatives.
Job Type: Full-time
Salary: ₹400,000.00 - ₹500,000.00 per year
Schedule:
Day shift
Experience:
work: 1 year (Preferred)
Django: 1 year (Preferred)
Python: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Python Developer,"Ahmedabad, Gujarat",BoTree Technologies,0,Organic,None
Odoo / Python Fresher,"Ahmedabad, Gujarat",BizzAppDev,0,Organic,None
Python Developer – Job Code(PD,"Kochi, Kerala",Calpine Group,0,Organic,None
Urgently hiring Python (Django) Developer,"Ahmedabad, Gujarat",Simplihire,"₹1,25,000 a month",Organic,"Experience: 3+ years (Django is must)
Benefits: WFH, Open budget for right candidate, 5 Days working
Skills required:
-Expert in Python, with knowledge of at least one Python web framework such as Django, Flask
-Strong Knowledge of design patterns, MVC architecture, REST APIs.
-Understanding of databases, SQL and NoSQL
-Experience in integrations with third parties APIs or exposing APIs for the third party to integrate
-Familiarity with Amazon Web Services (AWS)
-Understanding of accessibility and security compliance would be the added advantage
-Good design, modeling and refactoring skills.
-Excellent analytical abilities and problem-solving skills.
-In-depth understanding of any programming language and its internal working and constructs
-Should have a Detailed and quality oriented Approach in implementation
-Very Good English and proactive communication skills
-Should have knowledge of Messaging Queue, Data Pipeline, Data Structure, Elastic Search
JD:
-Design and Develop/Enhance Rest API for the high-end enterprise application with all latest technology stacks
-Writing reusable, testable, and efficient code
-Design and implementation of low-latency, high-availability, and performance backend API
-Code review and coaching team members for high standard coding practices
-Coordinate with client to understand business requirements, conducting PoCs and
-Provide technical solutions
Job Type: Full-time
Salary: Up to ₹125,000.00 per month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Python: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Python Developer,"Surat, Gujarat",Vasundhara Infotech,"₹1,00,000 - ₹3,50,000 a year",Organic,"Job Description
We are looking for an experienced Python developer to join our engineering team and help us create dynamic software applications for our clients. In this role, you will be responsible for writing and testing scalable code, developing back-end components, and integrating user-facing elements in collaboration with front-end developers.
To be successful as a Python Developer, you should possess in-depth knowledge of object-relational mapping, experience with server-side logic, and above-average knowledge of Python programming. Ultimately, a top-class Python Developer is able to design highly responsive web-applications that perfectly meet the needs of the client.
Responsibilities
Coordinating with development teams to determine application requirements.
Writing scalable code using Python programming language.
Testing and debugging applications.
Developing back-end components.
Integrating user-facing elements using server-side logic.
Assessing and prioritizing client feature requests.
Integrating data storage solutions.
Coordinating with front-end developers.
Reprogramming existing databases to improve functionality.
Developing digital tools to monitor online traffic.
Requirements
BS/MS degree in Computer Science, Computer Engineering, or related field.
Fresher can apply.
1-4 years of experience as a Python Developer.
A deep understanding and multi-process architecture and the threading limitations of Python.
Ability to integrate multiple data sources into a single system.
Familiarity with testing tools.
Ability to collaborate on projects and work independently when required.
Job Type: Full-time
Salary: ₹100,000.00 - ₹350,000.00 per year
Schedule:
Day shift
Experience:
Fresher can apply: 3 years (Preferred)
Education:
Bachelor's (Preferred)"
Python Odoo Developer,"Ahmedabad, Gujarat",Brainvire,0,Organic,"Job Description
We are looking for an experienced Python developer to join our engineering team and help us create dynamic software applications for our clients. In this role, you will be responsible for writing and testing scalable code, developing back-end components, and integrating user-facing elements in collaboration with front-end developers.
To be successful as a Python Developer, you should possess in-depth knowledge of object-relational mapping, experience with server-side logic, and above-average knowledge of Python programming. Ultimately, a top-class Python Developer is able to design highly responsive web-applications that perfectly meet the needs of the client.
Responsibilities
Coordinating with development teams to determine application requirements.
Writing scalable code using Python programming language.
Testing and debugging applications.
Developing back-end components.
Integrating user-facing elements using server-side logic.
Assessing and prioritizing client feature requests.
Integrating data storage solutions.
Coordinating with front-end developers.
Reprogramming existing databases to improve functionality.
Developing digital tools to monitor online traffic.
Requirements
BS/MS degree in Computer Science, Computer Engineering, or related field.
Fresher can apply.
1-4 years of experience as a Python Developer.
A deep understanding and multi-process architecture and the threading limitations of Python.
Ability to integrate multiple data sources into a single system.
Familiarity with testing tools.
Ability to collaborate on projects and work independently when required.
Job Type: Full-time
Salary: ₹100,000.00 - ₹350,000.00 per year
Schedule:
Day shift
Experience:
Fresher can apply: 3 years (Preferred)
Education:
Bachelor's (Preferred)"
Intern Python Developer,Maharashtra,Quiesta Technologies,0,Organic,"Job Description
We are looking for an experienced Python developer to join our engineering team and help us create dynamic software applications for our clients. In this role, you will be responsible for writing and testing scalable code, developing back-end components, and integrating user-facing elements in collaboration with front-end developers.
To be successful as a Python Developer, you should possess in-depth knowledge of object-relational mapping, experience with server-side logic, and above-average knowledge of Python programming. Ultimately, a top-class Python Developer is able to design highly responsive web-applications that perfectly meet the needs of the client.
Responsibilities
Coordinating with development teams to determine application requirements.
Writing scalable code using Python programming language.
Testing and debugging applications.
Developing back-end components.
Integrating user-facing elements using server-side logic.
Assessing and prioritizing client feature requests.
Integrating data storage solutions.
Coordinating with front-end developers.
Reprogramming existing databases to improve functionality.
Developing digital tools to monitor online traffic.
Requirements
BS/MS degree in Computer Science, Computer Engineering, or related field.
Fresher can apply.
1-4 years of experience as a Python Developer.
A deep understanding and multi-process architecture and the threading limitations of Python.
Ability to integrate multiple data sources into a single system.
Familiarity with testing tools.
Ability to collaborate on projects and work independently when required.
Job Type: Full-time
Salary: ₹100,000.00 - ₹350,000.00 per year
Schedule:
Day shift
Experience:
Fresher can apply: 3 years (Preferred)
Education:
Bachelor's (Preferred)"
Sr. Python Developer,"Ahmedabad, Gujarat",SAUBHAGYAM WEB PVT. LTD.,"₹20,000 - ₹60,000 a month",Organic,"Python Developer - 1 TO 5 YEARS
Job Description: -
We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application; therefore, a basic understanding of front-end technologies is necessary as well.
Responsibilities
Writing reusable, testable, and efficient code
Design and implementation of low-latency, high-availability, and performance applications
Integration of user-facing elements developed by front-end developers with server side logic
Implementation of security and data protection
Integration of data storage solutions
Skills And Qualifications
Expert in Python, with knowledge of at least one Python web framework
Familiarity with some ORM (Object Relational Mapper) libraries
Able to integrate multiple data sources and databases into one system
Understanding of the threading limitations of Python, and multi-process architecture
Good understanding of server-side templating languages
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3
Understanding of accessibility and security compliance
Knowledge of user authentication and authorization between multiple systems, servers, and environments
Understanding of fundamental design principles behind a scalable application
Familiarity with event-driven programming in Python
Understanding of the differences between multiple delivery platforms, such as mobile vs desktop, and optimizing output to match the specific platform
Able to create database schemas that represent and support business processes
Strong unit test and debugging skills
Proficient understanding of code versioning tools
Job Types: Full-time, Walk-In
Salary: ₹20,000.00 - ₹60,000.00 per month
Experience:
Python: 1 year (Required)
Education:
Bachelor's (Preferred)
Location:
Ahmedabad, Gujarat (Preferred)"
Python/Django Developer,"Ahmedabad, Gujarat",EmployeeLink,"₹40,000 a month",Organic,"Job Description: -
1. Proven Experience in the Software Development Lifecycle.
2. Good Working Knowledge of Programming in a Unix/windows Environment Acquaintance with Python Web Stacks Acquaintance with Version Control Systems.
3. Experience in Best Code Deployment Practices.
4. Solid Experience Coding in C , Java, Python / Django, Linux.
5. Good Working Knowledge of Design Patterns Excellent Analytical and Problem- solving Skills.
Call on - 9898220744
Job Type: Full-time
Salary: Up to ₹40,000.00 per month
Experience:
Python/Django : 3 years (Required)
Work Remotely:
No"
Python Developer,"Mohali, Punjab",Imminent Softwares,"₹15,000 - ₹35,000 a month",Organic,"Responsibilities
· Write effective, scalable code
· Develop back-end components to improve responsiveness and overall performance
· Integrate user-facing elements into applications
· Test and debug programs
· Improve functionality of existing systems
· Implement security and data protection solutions
· Assess and prioritize feature requests
· Coordinate with internal teams to understand user requirements and provide technical solutions
Requirements
· Work experience as a Python Developer
· Expertise in at least one popular Python framework (like Django, Flask or Pyramid)
· Knowledge of object-relational mapping (ORM)
· Familiarity with front-end technologies (like JavaScript and HTML5)
· Team spirit
Experience Required – 1-2 Years
Salary – Hike on current ctc
Contact number – 6283009504
Location- Plot, F-26(ff),
8 Phase Industrial area,
Mohali, Near CDAC
Job Type: Full-time
Salary: ₹15,000.00 - ₹35,000.00 per month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Python: 1 year (Preferred)
Work Remotely:
No"
Python Developer,"Ahmedabad, Gujarat",Flair Aloft,"₹35,000 - ₹37,500 a month",Organic,"Job Opening: Python Developer
Minimum Experience: 2 – 4 Years
Joining Within: Immediate Joining/ 15-30 days
Requirements
· Solid experience as Python Developer, Experience with Python frameworks (e.g. Django, Flask, Bottle) QT knowledge is a plus
· Proven experience in software development, best code deployment practices, Linux
· Knowledge on Cloud Computing
· Understanding of databases and SQL
· Familiarity Big data and NLP will be a plus
· Experienced in Python API integration with DL/NLP libraries
· Experienced in Python mysql/MongoDB database connectivity
· Collaborate with UX/UI designers to implement design into the code
· Knowledge of JavaScript and the AngularJS framework is a plus
Responsibilities
· Help design and implement functional requirements
· Build efficient back-end features in Python
· Integrate front-end components into applications
· Producing detailed specifications and writing program code
· Manage testing and bug fixes
· Implement software enhancements and suggest improvements
Excellent analytical and problem solving skills
Job Type: Full-time
Pay: ₹35,000.00 - ₹37,500.00 per month
Schedule:
Monday to Friday
Experience:
work: 2 years (Required)
total work: 2 years (Required)
Python: 2 years (Required)
Education:
Bachelor's (Preferred)
Work Remotely:
No"
Python Developer,India,Larsen & Toubro Infotech Limited,0,Organic,"Job Opening: Python Developer
Minimum Experience: 2 – 4 Years
Joining Within: Immediate Joining/ 15-30 days
Requirements
· Solid experience as Python Developer, Experience with Python frameworks (e.g. Django, Flask, Bottle) QT knowledge is a plus
· Proven experience in software development, best code deployment practices, Linux
· Knowledge on Cloud Computing
· Understanding of databases and SQL
· Familiarity Big data and NLP will be a plus
· Experienced in Python API integration with DL/NLP libraries
· Experienced in Python mysql/MongoDB database connectivity
· Collaborate with UX/UI designers to implement design into the code
· Knowledge of JavaScript and the AngularJS framework is a plus
Responsibilities
· Help design and implement functional requirements
· Build efficient back-end features in Python
· Integrate front-end components into applications
· Producing detailed specifications and writing program code
· Manage testing and bug fixes
· Implement software enhancements and suggest improvements
Excellent analytical and problem solving skills
Job Type: Full-time
Pay: ₹35,000.00 - ₹37,500.00 per month
Schedule:
Monday to Friday
Experience:
work: 2 years (Required)
total work: 2 years (Required)
Python: 2 years (Required)
Education:
Bachelor's (Preferred)
Work Remotely:
No"
